<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.07.17	83.280	83.603	83.213	83.377	93113	150538	1
2018.07.18	83.377	83.548	82.839	83.486	88639	143077	1
2018.07.19	83.487	83.928	82.588	82.719	110656	175090	1
2018.07.20	82.719	82.993	82.207	82.655	114835	176083	1
2018.07.23	82.634	82.761	82.141	82.169	90420	145162	1
2018.07.24	82.152	82.556	81.809	82.505	92563	145813	1
2018.07.25	82.505	82.890	82.087	82.717	103984	164168	1
2018.07.26	82.717	82.786	81.997	82.040	94063	152750	1
2018.07.27	82.040	82.309	81.865	82.144	80568	137888	1
2018.07.30	82.093	82.306	82.041	82.208	67426	115661	1
2018.07.31	82.205	83.258	82.148	83.006	97132	159210	1
2018.08.01	82.979	83.123	82.479	82.711	90695	155992	1
2018.08.02	82.710	82.738	81.960	82.148	86788	136799	1
2018.08.03	82.142	82.620	82.113	82.272	86915	134975	1
2018.08.06	82.260	82.426	82.174	82.291	60686	103796	1
2018.08.07	82.280	82.759	82.179	82.658	73999	121927	1
2018.08.08	82.648	82.795	82.081	82.417	71968	124100	1
2018.08.09	82.417	82.647	81.896	81.896	80662	128565	1
2018.08.10	81.895	81.989	80.615	80.896	111781	169048	1
2018.08.13	80.319	80.844	79.981	80.453	102450	189026	1
2018.08.14	80.452	80.815	80.217	80.449	87917	137412	1
2018.08.15	80.466	80.571	79.704	80.158	95734	139515	1
2018.08.16	80.151	80.827	79.836	80.493	103366	153424	1
2018.08.17	80.485	80.971	80.106	80.813	85521	120266	1
2018.08.20	80.889	80.953	80.592	80.754	67872	99745	1
2018.08.21	80.753	81.487	80.592	81.211	83935	123162	1
2018.08.22	81.211	81.368	80.915	81.203	81931	119678	1
2018.08.23	81.186	81.311	80.572	80.626	80491	120645	1
2018.08.24	80.624	81.700	80.571	81.460	82697	122737	1
2018.08.27	81.520	81.747	81.182	81.617	67453	108338	1
2018.08.28	81.619	81.777	81.423	81.564	79582	125478	1
2018.08.29	81.562	81.796	81.051	81.637	85864	131151	1
2018.08.30	81.631	81.701	80.491	80.556	82367	125782	1
2018.08.31	80.544	80.689	79.638	79.836	90797	135778	1
2018.09.03	79.863	80.264	79.523	80.061	66413	95723	1
2018.09.04	80.064	80.442	79.732	79.956	80823	119307	1
2018.09.05	79.944	80.578	79.598	80.198	87641	127952	1
2018.09.06	80.198	80.286	79.566	79.705	88747	132324	1
2018.09.07	79.705	79.722	78.685	78.834	95589	149868	1
2018.09.10	78.854	79.262	78.766	79.024	64084	96913	1
2018.09.11	79.024	79.506	78.908	79.420	72489	106331	1
2018.09.12	79.424	80.008	79.077	79.733	78901	126073	1
2018.09.13	79.730	80.801	79.703	80.461	78927	122978	1
