<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.05.02	1.35661	1.36082	1.35280	1.35530	144395	175946	4
2018.05.03	1.35574	1.35789	1.35248	1.35361	143378	175226	4
2018.05.04	1.35380	1.35758	1.35127	1.35222	110463	133999	3
2018.05.07	1.35346	1.36164	1.35277	1.35912	115055	139297	4
2018.05.08	1.35899	1.36182	1.35215	1.35685	126230	160991	4
2018.05.09	1.35685	1.36418	1.35453	1.36175	122727	154514	2
2018.05.10	1.36175	1.36483	1.35105	1.35603	150824	189647	4
2018.05.11	1.35609	1.35768	1.35338	1.35385	124645	155418	4
2018.05.14	1.35441	1.35848	1.35275	1.35617	109388	136484	3
2018.05.15	1.35614	1.35732	1.34961	1.35175	125848	159825	1
2018.05.16	1.35166	1.35241	1.34618	1.34986	138005	178238	4
2018.05.17	1.34984	1.35697	1.34975	1.35341	124067	157160	1
2018.05.18	1.35340	1.35386	1.34188	1.34256	110612	139840	4
2018.05.21	1.34186	1.34545	1.33769	1.33860	113548	144508	5
2018.05.22	1.33859	1.34333	1.33117	1.33310	120922	149499	4
2018.05.23	1.33310	1.33376	1.31781	1.32863	144421	181927	4
2018.05.24	1.32859	1.33165	1.32333	1.32645	147043	186439	3
2018.05.25	1.32645	1.32772	1.31541	1.31562	132124	160415	4
2018.05.28	1.31871	1.32493	1.31825	1.32207	109942	131085	4
2018.05.29	1.32185	1.32335	1.30513	1.31231	160083	202534	2
2018.05.30	1.31271	1.31837	1.31012	1.31388	151167	194335	4
2018.05.31	1.31384	1.31769	1.30588	1.31050	143354	178998	2
2018.06.01	1.31048	1.32051	1.30846	1.31818	133654	169137	1
2018.06.04	1.31903	1.32263	1.31441	1.31466	117506	146848	4
2018.06.05	1.31455	1.32045	1.31454	1.31810	121509	154909	4
2018.06.06	1.31855	1.32692	1.31810	1.32276	115864	146180	1
2018.06.07	1.32275	1.32423	1.31241	1.31579	128512	168135	4
2018.06.08	1.31579	1.32282	1.31394	1.32054	116120	146563	4
2018.06.11	1.32017	1.32568	1.31695	1.31785	94597	122192	3
2018.06.12	1.31785	1.32114	1.31404	1.31924	124116	155745	3
2018.06.13	1.31923	1.32045	1.31466	1.31786	109580	140972	4
2018.06.14	1.31783	1.32607	1.31649	1.32158	128599	159232	4
2018.06.15	1.32146	1.32695	1.31904	1.32440	126190	155843	4
2018.06.18	1.32053	1.32446	1.31592	1.31788	97686	127199	4
2018.06.19	1.31788	1.31883	1.30797	1.30969	130801	168999	4
2018.06.20	1.30972	1.31623	1.30857	1.31198	122781	154404	4
2018.06.21	1.31188	1.31717	1.30639	1.31274	150283	194350	4
2018.06.22	1.31182	1.31777	1.30849	1.30965	127166	159570	2
2018.06.25	1.30991	1.31209	1.30587	1.31049	123737	157997	4
2018.06.26	1.31070	1.31285	1.30669	1.31049	125800	166760	4
2018.06.27	1.30976	1.31134	1.30607	1.30743	137213	175311	4
2018.06.28	1.30750	1.30796	1.30306	1.30428	145199	183554	4
2018.06.29	1.30432	1.31180	1.30227	1.30772	152324	192147	3
2018.07.02	1.30446	1.30856	1.30347	1.30572	120678	151637	2
2018.07.03	1.30564	1.31097	1.30305	1.30910	123544	157673	1
2018.07.04	1.30907	1.31477	1.30782	1.31230	115726	144068	4
2018.07.05	1.31223	1.31691	1.31095	1.31306	139049	178979	4
2018.07.06	1.31290	1.31618	1.31128	1.31467	114764	142647	4
2018.07.09	1.31766	1.32010	1.30864	1.31414	130454	163655	3
2018.07.10	1.31414	1.32049	1.31242	1.31632	121689	148115	4
2018.07.11	1.31625	1.31834	1.31393	1.31485	145154	180661	4
2018.07.12	1.31485	1.32566	1.31353	1.32351	124507	153819	3
2018.07.13	1.32344	1.32641	1.31597	1.32481	118220	147831	1
2018.07.16	1.32426	1.32670	1.31847	1.31900	102914	129964	4
2018.07.17	1.31885	1.32047	1.30701	1.31148	130580	164398	4
2018.07.18	1.31140	1.31393	1.30124	1.30546	120073	150730	4
2018.07.19	1.30538	1.30665	1.29863	1.29970	135462	171728	4
2018.07.20	1.29986	1.30483	1.29779	1.30280	139137	175700	4
2018.07.23	1.30161	1.30366	1.29930	1.30010	108431	138555	4
2018.07.24	1.30010	1.30718	1.30005	1.30593	115859	146109	1
2018.07.25	1.30580	1.30845	1.30325	1.30775	116882	145890	2
2018.07.26	1.30778	1.31038	1.30276	1.30284	114939	143364	1
2018.07.27	1.30275	1.30694	1.30131	1.30131	103017	128468	1
2018.07.30	1.30177	1.30592	1.29750	1.29753	85158	105215	4
2018.07.31	1.29753	1.30073	1.29492	1.29910	99386	125797	1
2018.08.01	1.29912	1.30300	1.29758	1.30212	101650	130091	1
2018.08.02	1.30201	1.30395	1.29400	1.29515	103319	129945	4
2018.08.03	1.29515	1.29664	1.29128	1.29270	99924	123701	4
