<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.29	1.83659	1.84045	1.82498	1.82551	153196	188355	4
2018.03.30	1.82540	1.82801	1.82144	1.82434	152636	188133	9
2018.04.02	1.82201	1.83604	1.82199	1.83251	106754	132776	4
2018.04.03	1.83177	1.83552	1.82495	1.82854	152025	187658	4
2018.04.04	1.82845	1.83680	1.82380	1.82434	165415	210412	4
2018.04.05	1.82424	1.83141	1.81770	1.82165	141962	177440	4
2018.04.06	1.82165	1.83688	1.82146	1.83489	165322	207598	4
2018.04.09	1.83428	1.84584	1.83148	1.83486	142073	181011	4
2018.04.10	1.83470	1.83702	1.82350	1.82596	159787	207402	4
2018.04.11	1.82585	1.83558	1.82457	1.82736	145425	185361	4
2018.04.12	1.82677	1.83691	1.82624	1.83409	147980	188863	4
2018.04.13	1.83364	1.83614	1.82541	1.83266	138926	178514	4
2018.04.16	1.83270	1.84364	1.83015	1.84196	131937	176678	4
2018.04.17	1.84165	1.84753	1.83800	1.83913	142374	192896	4
2018.04.18	1.83896	1.84388	1.82392	1.82407	146116	196844	4
2018.04.19	1.82383	1.83578	1.81715	1.82136	167150	227956	5
2018.04.20	1.82114	1.83170	1.82032	1.82431	167793	230710	4
2018.04.23	1.82377	1.83387	1.82249	1.83281	115173	147991	4
2018.04.24	1.83281	1.84009	1.83077	1.83778	129942	167952	1
2018.04.25	1.83778	1.84587	1.83750	1.84113	146805	185476	4
2018.04.26	1.84077	1.84738	1.83827	1.84205	167538	217889	4
2018.04.27	1.84205	1.84649	1.81674	1.81759	153447	195026	1
2018.04.30	1.81707	1.82899	1.81647	1.82648	147538	191206	4
2018.05.01	1.82597	1.82943	1.81633	1.81709	160254	212056	5
2018.05.02	1.81685	1.82050	1.80885	1.81089	188144	249241	1
2018.05.03	1.81065	1.81302	1.80102	1.80174	158902	205327	4
2018.05.04	1.80172	1.80493	1.79346	1.79402	128377	158779	3
2018.05.07	1.79369	1.80706	1.79364	1.80240	149724	195810	4
2018.05.08	1.80255	1.81812	1.80240	1.81700	183241	242404	4
2018.05.09	1.81700	1.82398	1.81426	1.81470	176800	230355	4
2018.05.10	1.81611	1.81938	1.79192	1.79425	209786	284132	4
2018.05.11	1.79398	1.79837	1.79042	1.79343	177023	297967	4
2018.05.14	1.79516	1.80230	1.79352	1.80060	160006	209911	4
2018.05.15	1.80044	1.80854	1.79871	1.80645	178246	231009	4
2018.05.16	1.80660	1.81084	1.79358	1.79395	188461	247951	4
2018.05.17	1.79395	1.80382	1.79145	1.79876	175190	223178	1
2018.05.18	1.79876	1.80063	1.79122	1.79227	162162	216008	5
2018.05.21	1.78880	1.79304	1.76986	1.76993	162385	205963	4
2018.05.22	1.76982	1.77528	1.76693	1.77221	168461	216683	4
2018.05.23	1.77214	1.77959	1.76451	1.76454	200375	251638	4
2018.05.24	1.76406	1.77491	1.76380	1.76587	199533	260677	1
2018.05.25	1.76569	1.76843	1.75838	1.76096	145045	181838	4
2018.05.28	1.76101	1.76519	1.75865	1.76307	145682	189091	4
2018.05.29	1.76259	1.77007	1.75427	1.76441	214014	274847	4
2018.05.30	1.76441	1.77228	1.75216	1.75287	211697	264903	2
2018.05.31	1.75260	1.76087	1.75178	1.75659	211411	266436	4
2018.06.01	1.75667	1.76976	1.75407	1.76207	200031	254851	4
2018.06.04	1.76343	1.76541	1.73923	1.74048	182817	226181	4
2018.06.05	1.74016	1.75951	1.73911	1.75830	180262	224531	4
2018.06.06	1.75830	1.75966	1.74714	1.74900	175922	220901	4
2018.06.07	1.74902	1.76263	1.74796	1.75960	147029	177332	3
2018.06.08	1.75873	1.77331	1.75809	1.76362	135861	168569	4
2018.06.11	1.76636	1.76636	1.75480	1.75739	134423	172005	4
2018.06.12	1.75707	1.76720	1.75321	1.76493	186555	231175	4
2018.06.13	1.76505	1.76908	1.75606	1.76452	159821	199823	4
2018.06.14	1.76446	1.77930	1.76257	1.77240	191582	248510	4
2018.06.15	1.77291	1.78513	1.77150	1.78377	180186	234184	4
2018.06.18	1.78141	1.78657	1.77526	1.78377	147123	189259	4
2018.06.19	1.78382	1.79686	1.78315	1.78390	185567	232814	1
2018.06.20	1.78377	1.79088	1.77609	1.78742	168102	211161	4
2018.06.21	1.78705	1.79797	1.77871	1.79362	188459	230741	4
2018.06.22	1.79329	1.79627	1.77981	1.78142	162309	220694	3
2018.06.25	1.78023	1.79437	1.78023	1.79044	156447	193924	3
2018.06.26	1.79035	1.79447	1.78511	1.78706	160981	201675	4
2018.06.27	1.78691	1.79581	1.77892	1.78593	193827	259493	4
2018.06.28	1.78546	1.78729	1.77756	1.77824	191326	238749	2
2018.06.29	1.77737	1.78774	1.77355	1.78166	203322	254319	4
2018.07.02	1.77944	1.79489	1.77944	1.78999	171035	215899	4
2018.07.03	1.78967	1.79295	1.78102	1.78550	185271	230610	1
2018.07.04	1.78550	1.79422	1.77976	1.79043	149434	189434	4
2018.07.05	1.79074	1.79569	1.78542	1.78917	194647	237418	1
2018.07.06	1.78902	1.79088	1.78178	1.78728	173854	219209	4
2018.07.09	1.79142	1.79157	1.76661	1.77518	183343	227619	4
2018.07.10	1.77500	1.78381	1.76984	1.77880	166959	203367	1
2018.07.11	1.77880	1.79340	1.77834	1.79237	223361	270968	4
2018.07.12	1.79196	1.79399	1.78225	1.78231	180594	222726	4
2018.07.13	1.78205	1.78502	1.77461	1.78197	177483	219503	4
2018.07.16	1.78216	1.78738	1.77986	1.78327	156604	194047	4
2018.07.17	1.78292	1.78788	1.77183	1.77427	191502	237317	4
2018.07.18	1.77392	1.78246	1.76287	1.76633	179450	221892	4
2018.07.19	1.76625	1.77281	1.75672	1.76789	203004	248682	4
2018.07.20	1.76808	1.77581	1.76281	1.76957	210120	257728	4
2018.07.23	1.76776	1.77731	1.76655	1.77435	165605	205570	4
2018.07.24	1.77435	1.77931	1.76795	1.77140	172926	210462	4
2018.07.25	1.77140	1.77949	1.76599	1.76870	172595	211326	1
2018.07.26	1.76865	1.78035	1.76865	1.77671	173571	212684	3
2018.07.27	1.77646	1.77694	1.76837	1.76870	155766	193709	1
2018.07.30	1.76938	1.77551	1.76783	1.77232	137392	167836	4
2018.07.31	1.77167	1.77452	1.76282	1.76609	162268	196020	3
2018.08.01	1.76570	1.77443	1.76517	1.77262	161605	199978	4
2018.08.02	1.77262	1.78229	1.76503	1.76807	140714	170821	4
2018.08.03	1.76773	1.76897	1.75592	1.75613	147655	178656	4
2018.08.06	1.75708	1.75858	1.74972	1.75201	122945	149594	4
2018.08.07	1.75191	1.75307	1.74082	1.74325	131455	162056	4
2018.08.08	1.74325	1.74477	1.73246	1.73387	138910	169159	4
2018.08.09	1.73388	1.74086	1.72827	1.73890	157036	193328	1
2018.08.10	1.73890	1.75457	1.73764	1.74761	206559	260963	3
2018.08.13	1.75107	1.75676	1.74927	1.75500	184933	232039	4
2018.08.14	1.75286	1.76549	1.75239	1.75635	168410	210504	4
2018.08.15	1.75635	1.76247	1.75278	1.75363	174930	220430	4
2018.08.16	1.75363	1.75831	1.74536	1.75007	185549	230711	4
2018.08.17	1.75037	1.75271	1.74161	1.74229	165837	211026	4
2018.08.20	1.74212	1.74801	1.74100	1.74300	132485	196753	4
2018.08.21	1.74285	1.75243	1.74158	1.75038	156742	196406	4
2018.08.22	1.75024	1.75915	1.74986	1.75553	158532	199613	4
2018.08.23	1.75486	1.76930	1.75469	1.76705	137394	171145	4
2018.08.24	1.76705	1.76885	1.75209	1.75271	139371	172797	4
2018.08.27	1.75198	1.75813	1.75014	1.75430	138737	177568	4
2018.08.28	1.75430	1.75925	1.75205	1.75297	153434	192131	3
