<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.11.05	108.573	109.242	108.543	109.144	73045	134226	1
2019.11.06	109.131	109.182	108.817	108.965	62047	116864	1
2019.11.07	108.964	109.487	108.647	109.282	88383	165873	1
2019.11.08	109.272	109.476	109.078	109.217	69610	132614	1
2019.11.11	109.195	109.254	108.894	109.041	41559	77733	1
2019.11.12	109.042	109.292	108.922	108.990	64984	122245	1
2019.11.13	108.992	109.149	108.654	108.812	66513	128877	1
2019.11.14	108.808	108.863	108.237	108.408	67984	131698	1
2019.11.15	108.408	108.855	108.372	108.773	53266	100238	1
2019.11.18	108.782	109.073	108.512	108.675	57199	108073	1
2019.11.19	108.675	108.836	108.452	108.533	62443	114061	1
2019.11.20	108.531	108.738	108.348	108.605	80348	149942	1
2019.11.21	108.587	108.697	108.279	108.616	83826	158086	1
2019.11.22	108.616	108.730	108.477	108.619	59440	112543	1
2019.11.25	108.673	108.978	108.611	108.918	48085	86867	1
2019.11.26	108.903	109.208	108.874	109.027	57576	107613	1
2019.11.27	109.022	109.609	109.008	109.539	47638	89713	1
2019.11.28	109.539	109.552	109.331	109.504	40020	68100	1
2019.11.29	109.506	109.669	109.396	109.469	54653	99821	1
2019.12.02	109.509	109.727	108.924	108.971	63888	124059	1
2019.12.03	108.971	109.206	108.484	108.633	78862	155117	1
2019.12.04	108.623	108.962	108.427	108.853	71458	144182	1
2019.12.05	108.853	108.997	108.655	108.751	61305	118729	1
2019.12.06	108.751	108.923	108.511	108.534	52442	103366	1
2019.12.09	108.614	108.677	108.430	108.554	35993	67810	1
2019.12.10	108.554	108.767	108.512	108.717	51982	94118	1
2019.12.11	108.708	108.855	108.464	108.553	49481	88340	1
2019.12.12	108.551	109.448	108.456	109.279	72537	131173	1
2019.12.13	109.282	109.707	108.915	109.320	101578	174911	1
2019.12.16	109.267	109.676	109.267	109.534	41902	90407	1
2019.12.17	109.536	109.633	109.443	109.473	39694	81351	1
2019.12.18	109.468	109.628	109.400	109.549	38815	77108	1
