<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.01	0.98028	0.98199	0.97582	0.97996	111573	151605	4
2018.06.04	0.97929	0.98979	0.97929	0.98804	97198	128179	4
2018.06.05	0.98823	0.99243	0.98624	0.98762	107681	147975	3
2018.06.06	0.98739	0.99334	0.98521	0.99227	107228	148487	4
2018.06.07	0.99225	0.99287	0.98824	0.98828	101594	135193	4
2018.06.08	0.98843	0.98947	0.98146	0.98203	99546	131902	5
2018.06.11	0.98664	0.99102	0.98463	0.98709	74705	100106	5
2018.06.12	0.98709	0.99034	0.98493	0.98493	101603	145660	5
2018.06.13	0.98488	0.98805	0.98177	0.98392	98808	130713	4
2018.06.14	0.98389	0.98410	0.97825	0.97948	105135	140229	5
2018.06.15	0.97944	0.98436	0.97813	0.98088	99592	130805	5
2018.06.18	0.98074	0.98234	0.97878	0.97985	76661	100940	6
2018.06.19	0.97968	0.98084	0.97381	0.97989	115513	159119	7
2018.06.20	0.97979	0.98388	0.97936	0.98024	102323	140164	7
2018.06.21	0.98025	0.98367	0.97865	0.98132	119081	160398	5
2018.06.22	0.98158	0.99322	0.98157	0.98627	108287	148318	4
2018.06.25	0.98683	0.98824	0.98429	0.98578	101150	137525	5
2018.06.26	0.98545	0.98616	0.98230	0.98353	101646	133739	5
2018.06.27	0.98344	0.98399	0.97708	0.97873	115511	154206	4
2018.06.28	0.97874	0.98110	0.97343	0.97344	107314	132548	5
2018.06.29	0.97344	0.97891	0.97094	0.97224	116607	152360	4
2018.07.02	0.97302	0.97381	0.96574	0.96719	92342	117668	5
2018.07.03	0.96713	0.97423	0.96598	0.97027	96261	131059	5
2018.07.04	0.97028	0.97356	0.96923	0.96997	86789	114944	6
2018.07.05	0.96981	0.97198	0.96839	0.96987	93406	123340	5
2018.07.06	0.96972	0.97689	0.96968	0.97128	90304	119764	6
2018.07.09	0.97228	0.97923	0.97228	0.97829	81161	108740	4
2018.07.10	0.97824	0.98129	0.97610	0.97748	85831	114239	6
2018.07.11	0.97744	0.97767	0.96808	0.97283	122965	163951	4
2018.07.12	0.97249	0.97630	0.97241	0.97424	92447	141732	6
2018.07.13	0.97424	0.97643	0.97244	0.97626	85047	167876	10
2018.07.16	0.97598	0.97796	0.97327	0.97409	82021	111546	4
2018.07.17	0.97399	0.97604	0.97239	0.97422	96446	128572	6
2018.07.18	0.97419	0.97629	0.97254	0.97397	93474	125515	4
2018.07.19	0.97398	0.97942	0.97031	0.97601	115035	152173	4
2018.07.20	0.97508	0.97811	0.97150	0.97482	117454	158408	6
2018.07.23	0.97409	0.97544	0.97024	0.97179	90652	120205	6
2018.07.24	0.97159	0.97701	0.97067	0.97561	95170	126493	2
2018.07.25	0.97501	0.97864	0.96970	0.97233	106210	139455	4
2018.07.26	0.97233	0.97253	0.96378	0.96404	96012	126512	5
2018.07.27	0.96393	0.96861	0.96221	0.96612	87656	118012	4
2018.07.30	0.96584	0.96736	0.96252	0.96489	72107	98402	5
2018.07.31	0.96489	0.97075	0.96456	0.96509	95881	128277	4
2018.08.01	0.96514	0.96652	0.96095	0.96241	94458	127020	5
2018.08.02	0.96218	0.96306	0.95787	0.95795	81167	105374	4
2018.08.03	0.95794	0.96237	0.95774	0.96056	87745	114429	5
2018.08.06	0.96119	0.96305	0.96032	0.96039	62639	83189	7
2018.08.07	0.96023	0.97004	0.95981	0.96843	77793	102995	4
2018.08.08	0.96835	0.97061	0.96634	0.96709	82827	108871	4
2018.08.09	0.96709	0.96926	0.96163	0.96188	85170	111845	4
2018.08.10	0.96188	0.96257	0.95217	0.95801	119592	159061	4
2018.08.13	0.95739	0.95905	0.95366	0.95425	105346	135374	7
2018.08.14	0.95424	0.95523	0.94484	0.94493	96644	124181	3
2018.08.15	0.94502	0.95242	0.94169	0.95116	100867	129350	6
2018.08.16	0.95104	0.95694	0.94888	0.95486	101328	126325	4
2018.08.17	0.95468	0.95729	0.95068	0.95511	89737	114124	4
2018.08.20	0.95524	0.95763	0.95336	0.95680	77136	100047	4
2018.08.21	0.95688	0.96117	0.95589	0.96004	87813	111297	4
2018.08.22	0.95996	0.96073	0.95472	0.95494	91919	119758	5
2018.08.23	0.95448	0.95535	0.94732	0.94757	87636	111679	7
2018.08.24	0.94740	0.95635	0.94723	0.95361	89285	113543	5
2018.08.27	0.95360	0.95567	0.95145	0.95262	79385	102766	7
2018.08.28	0.95262	0.95316	0.94793	0.94839	86432	108412	2
2018.08.29	0.94834	0.94958	0.94186	0.94349	92862	117523	4
2018.08.30	0.94334	0.94674	0.93997	0.94224	91123	112622	4
2018.08.31	0.94224	0.94453	0.93618	0.93706	104070	129945	4
2018.09.03	0.94009	0.94498	0.93685	0.94427	64957	83904	4
2018.09.04	0.94408	0.94777	0.94108	0.94591	89344	113204	4
2018.09.05	0.94602	0.95018	0.94338	0.94757	95764	120186	4
2018.09.06	0.94755	0.95168	0.94493	0.94541	94648	120882	4
2018.09.07	0.94541	0.94701	0.93448	0.93448	102997	130792	3
2018.09.10	0.93474	0.93973	0.93454	0.93614	70467	90326	7
2018.09.11	0.93618	0.93657	0.92865	0.92963	81206	103303	4
2018.09.12	0.92982	0.93332	0.92704	0.93128	88656	115000	4
2018.09.13	0.93114	0.93900	0.93065	0.93431	84197	104928	4
2018.09.14	0.93420	0.93723	0.93183	0.93214	71064	92376	7
2018.09.17	0.93224	0.93630	0.93154	0.93586	64945	81398	4
2018.09.18	0.93586	0.94030	0.93315	0.93638	96399	119785	4
2018.09.19	0.93638	0.94319	0.93507	0.93746	87465	111085	5
2018.09.20	0.93757	0.94146	0.93707	0.94068	91166	114191	5
2018.09.21	0.94064	0.94220	0.93804	0.94054	81830	102937	4
2018.09.24	0.93869	0.94211	0.93800	0.93948	69855	89691	6
2018.09.25	0.93948	0.94062	0.93766	0.93894	70692	89546	4
2018.09.26	0.93894	0.94895	0.93793	0.94444	82980	103858	4
2018.09.27	0.94449	0.94736	0.93955	0.93968	83440	98708	4
2018.09.28	0.93964	0.94072	0.93117	0.93149	75838	92386	4
2018.10.01	0.92833	0.93061	0.92257	0.92494	80136	101110	4
2018.10.02	0.92492	0.92649	0.91922	0.92128	82119	101132	4
2018.10.03	0.92129	0.92218	0.91310	0.91319	84839	102406	7
2018.10.04	0.91318	0.91522	0.91040	0.91384	89952	109203	4
2018.10.05	0.91389	0.91563	0.91145	0.91159	88899	110013	4
2018.10.08	0.91328	0.91880	0.91240	0.91702	75091	92633	5
2018.10.09	0.91702	0.91990	0.91569	0.91933	90075	110692	4
2018.10.10	0.91904	0.92424	0.91858	0.92092	94643	118092	2
2018.10.11	0.92044	0.92878	0.91949	0.92809	132437	163182	5
2018.10.12	0.92799	0.92929	0.92544	0.92616	103318	131729	4
2018.10.15	0.92554	0.93158	0.92469	0.92610	98940	128605	4
2018.10.16	0.92594	0.92749	0.92226	0.92350	87959	111295	4
2018.10.17	0.92344	0.92676	0.92292	0.92529	92612	117938	5
2018.10.18	0.92514	0.93200	0.92503	0.92874	105689	137155	5
2018.10.19	0.92868	0.93645	0.92697	0.93193	106515	139022	5
2018.10.22	0.93154	0.93370	0.92741	0.92753	96832	127415	5
2018.10.23	0.92749	0.92834	0.92429	0.92689	108163	140243	4
2018.10.24	0.92684	0.92918	0.91744	0.92145	123344	163765	4
2018.10.25	0.92139	0.92876	0.91964	0.92524	115858	152063	6
2018.10.26	0.92520	0.92894	0.92073	0.92894	126528	161216	4
2018.10.29	0.92909	0.93094	0.92627	0.92628	109572	146458	4
2018.10.30	0.92608	0.93444	0.92590	0.93120	100039	128737	4
2018.10.31	0.93109	0.93323	0.92773	0.93038	96707	122165	4
2018.11.01	0.93036	0.94382	0.93012	0.94283	100044	124249	4
2018.11.02	0.94274	0.94797	0.94172	0.94287	106902	135330	4
2018.11.05	0.94138	0.94594	0.94118	0.94513	88524	114133	4
2018.11.06	0.94504	0.95085	0.94438	0.95077	90055	115494	4
2018.11.07	0.95064	0.95547	0.94762	0.95366	118367	152484	6
2018.11.08	0.95348	0.95679	0.95284	0.95428	110234	142458	3
2018.11.09	0.95423	0.95671	0.95312	0.95338	108504	140827	7
2018.11.12	0.95294	0.95408	0.94925	0.94994	98371	131725	4
2018.11.13	0.94984	0.95545	0.94871	0.95507	113138	150041	4
2018.11.14	0.95509	0.95913	0.95151	0.95694	123060	168138	4
2018.11.15	0.95694	0.96475	0.95669	0.95874	122819	165999	4
2018.11.16	0.95869	0.96533	0.95464	0.96313	102677	139118	5
2018.11.19	0.96114	0.96353	0.96021	0.96050	85426	115239	4
2018.11.20	0.96039	0.96226	0.95593	0.95970	107546	146664	4
2018.11.21	0.95974	0.96634	0.95825	0.96079	96264	129743	6
2018.11.22	0.96073	0.96140	0.95577	0.95650	77558	99761	6
