<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.07.17	148.596	149.087	147.576	148.012	151426	245816	2
2018.07.18	148.009	148.229	146.863	147.474	143692	241663	3
2018.07.19	147.476	147.589	146.158	146.343	155567	260066	3
2018.07.20	146.342	146.659	145.972	146.264	161509	260658	3
2018.07.23	146.171	146.427	145.674	145.826	131041	205307	2
2018.07.24	145.814	146.324	145.454	146.146	123510	202429	2
2018.07.25	146.146	146.519	145.768	146.344	127267	200300	2
2018.07.26	146.336	146.485	145.761	145.777	122116	200009	2
2018.07.27	145.776	145.810	145.267	145.375	104344	168762	3
2018.07.30	145.350	145.925	145.273	145.809	98891	159353	2
2018.07.31	145.800	147.007	145.367	146.726	127902	211565	3
2018.08.01	146.726	147.146	146.311	146.642	117255	183865	2
2018.08.02	146.640	146.659	145.002	145.316	118494	185256	3
2018.08.03	145.313	145.543	144.511	144.654	115159	178533	2
2018.08.06	144.601	144.735	144.041	144.183	82953	132889	3
2018.08.07	144.180	144.438	143.808	144.102	92398	140776	3
2018.08.08	144.100	144.277	142.728	142.934	96557	170422	3
2018.08.09	142.973	143.490	142.346	142.436	102400	164761	2
2018.08.10	142.408	142.561	140.934	141.615	133169	193624	2
2018.08.13	140.777	141.836	140.239	141.314	122339	186799	2
2018.08.14	141.195	142.479	141.002	141.389	112544	169289	2
2018.08.15	141.369	141.767	139.896	140.573	118688	169475	1
2018.08.16	140.565	141.326	140.206	140.928	124501	175952	2
2018.08.17	140.783	141.167	140.224	140.840	106622	154859	3
2018.08.20	140.912	141.216	140.719	140.824	81813	126222	2
2018.08.21	140.824	142.680	140.663	142.254	105604	150571	2
2018.08.22	142.116	142.798	142.000	142.693	97802	140880	2
2018.08.23	142.660	143.008	142.423	142.503	97104	144185	2
2018.08.24	142.521	143.238	142.503	142.868	102362	147502	1
2018.08.27	142.926	143.283	142.526	143.187	88036	140076	1
2018.08.28	143.186	143.666	143.047	143.098	108392	166692	1
2018.08.29	143.098	145.563	142.822	145.455	107708	159869	2
2018.08.30	145.455	145.684	144.333	144.334	104283	149446	2
2018.08.31	144.333	144.691	143.492	143.880	111772	160369	2
2018.09.03	143.429	143.714	142.839	142.910	97103	137572	3
2018.09.04	142.924	143.378	142.594	143.193	104998	149533	1
2018.09.05	143.241	144.964	142.649	143.909	110937	167283	1
2018.09.06	143.909	144.244	142.939	143.154	106905	149945	1
2018.09.07	143.151	144.435	142.608	143.405	119125	182731	2
2018.09.10	143.492	145.032	143.070	144.702	85952	125834	2
2018.09.11	144.700	145.918	144.351	145.443	89929	133624	1
2018.09.12	145.443	145.658	144.672	145.072	92084	143996	2
2018.09.13	145.083	146.815	145.011	146.680	99812	150302	2
2018.09.14	146.674	147.014	146.256	146.427	93751	141238	1
2018.09.17	146.384	147.460	146.313	147.132	79833	123051	1
2018.09.18	147.135	147.913	146.781	147.720	108667	163103	2
2018.09.19	147.713	148.534	147.192	147.551	101460	154115	1
2018.09.20	147.548	149.285	147.342	149.210	116252	177349	2
2018.09.21	149.122	149.712	146.997	147.222	106187	157986	2
2018.09.24	146.997	148.299	146.946	147.935	88676	133793	2
2018.09.25	147.944	149.016	147.804	148.871	95651	135024	2
2018.09.26	148.831	149.093	148.279	148.367	100372	148540	2
2018.09.27	148.367	148.728	147.595	148.204	109950	156461	1
2018.09.28	148.205	148.640	147.538	148.099	98579	139179	1
2018.10.01	148.257	149.412	148.167	148.536	104873	160948	2
2018.10.02	148.537	148.719	147.194	147.446	116737	174987	2
2018.10.03	147.446	148.582	147.264	148.216	118307	188932	2
2018.10.04	148.149	148.633	147.702	148.245	126283	195768	1
2018.10.05	148.245	149.268	148.077	149.123	124993	196278	2
2018.10.08	149.296	149.509	147.494	148.178	123373	192894	2
2018.10.09	148.161	148.752	147.347	148.443	147286	232379	2
2018.10.10	148.435	149.301	148.054	148.078	138853	225261	2
2018.10.11	148.084	148.779	147.816	148.419	199806	317538	2
2018.10.12	148.315	149.005	147.161	147.558	145066	227962	1
2018.10.15	146.727	147.424	146.506	146.977	137323	213211	2
2018.10.16	146.974	148.402	146.825	147.910	133224	206737	1
2018.10.17	147.908	148.249	147.056	147.695	140975	219922	2
2018.10.18	147.696	147.763	145.809	146.026	143542	221936	3
2018.10.19	146.030	147.331	145.986	146.998	139334	215475	2
2018.10.22	147.058	147.579	146.043	146.186	134986	212663	2
2018.10.23	146.189	146.405	145.287	145.959	149087	230968	1
2018.10.24	145.958	146.303	144.431	144.560	163449	254266	2
2018.10.25	144.551	145.033	144.013	144.061	155584	222779	2
2018.10.26	144.038	144.169	142.768	143.481	182386	280866	2
2018.10.29	143.419	144.405	143.341	143.730	151712	225461	1
2018.10.30	143.730	144.388	143.211	143.677	165074	249292	2
2018.10.31	143.673	145.132	143.616	144.150	142274	204608	2
2018.11.01	144.175	146.890	144.023	146.538	150934	224224	2
2018.11.02	146.539	147.254	146.283	146.695	155691	237947	2
2018.11.05	147.330	147.804	146.851	147.571	118401	178479	2
2018.11.06	147.568	148.705	147.299	148.527	125886	187109	1
2018.11.07	148.550	149.229	148.331	148.954	162606	251387	2
2018.11.08	148.954	149.485	148.603	148.968	137786	204089	3
2018.11.09	148.963	149.053	147.495	147.604	137064	207180	3
2018.11.12	147.060	147.575	146.069	146.244	149862	221573	2
2018.11.13	146.246	148.726	145.989	147.573	155461	225410	3
2018.11.14	147.669	148.422	146.316	147.560	176907	268620	2
2018.11.15	147.577	147.923	144.246	145.112	181490	266620	2
2018.11.16	145.120	145.443	144.592	144.773	147830	218381	2
2018.11.19	144.792	145.314	144.293	144.627	116861	179332	3
2018.11.20	144.658	144.911	144.017	144.151	136291	223064	3
2018.11.21	144.146	144.887	144.007	144.418	112075	153069	4
2018.11.22	144.418	145.946	144.258	145.400	99836	131312	4
2018.11.23	145.395	145.523	144.347	144.569	97966	131483	3
2018.11.26	144.779	145.738	144.640	145.462	116664	155275	3
2018.11.27	145.451	145.531	144.595	144.966	121930	169902	2
